Ticker,Avg Return,Expected Return,Beta,20-Year Risk adj,Market Cap,Sector
AEM,0.07228472331585789,0.10764299999999999,1.099,3.9263177703990415,33163845632,Basic Materials
AEMD,-0.5340710265913208,0.13659899999999997,1.607,5.933153575691489,2939126,Healthcare
AEO,0.08143590975170145,0.128277,1.461,5.314862763120703,3948243200,Consumer Cyclical
AEP,0.07790553405209111,0.075039,0.527,1.5924483863987604,46544871424,Utilities
AER,0.07648474625279178,0.15045,1.85,7.072100853118372,18626392064,Industrials
AES,0.05127397874298434,0.108042,1.106,3.951972263457525,13566632960,Utilities
AEYE,0.0729029123070628,0.11225999999999998,1.18,4.224855127002609,199956304,Technology
AEZS,-0.5423923278439363,0.16298999999999997,2.07,8.24987031891336,13930690,Healthcare
AFB,0.01709678005364057,0.075267,0.531,1.6144781383886009,319068416,Financial Services
AFG,0.1313050083191043,0.08946,0.78,2.7402915045029395,10521114624,Financial Services
AFL,0.13154727457375515,0.099378,0.954,3.3963431141243405,50662678528,Financial Services
AFT,0.037164186091503515,0.072474,0.482,1.3296720090339864,225972944,Financial Services
AG,-0.05438322946639251,0.12143699999999999,1.341,4.836055410708191,1737132288,Basic Materials
AGCO,0.06908293432433465,0.120069,1.317,4.742954926657918,7373899264,Industrials
AGD,0.05580589795357449,0.103596,1.028,3.6669009140011184,241688784,Financial Services
AGEN,-0.14359751667140475,0.121665,1.345,4.85165120509204,296510112,Healthcare
AGI,0.05535414833253505,0.106788,1.084,3.871408784210947,6290968576,Basic Materials
AGIO,-0.0006170259509875597,0.088947,0.771,2.704800769794791,2475870464,Healthcare
AGM,0.22069181850640796,0.10456499999999999,1.045,3.7289383754166687,1855184640,Financial Services
AGNC,-0.007637601462465171,0.128277,1.461,5.314862763120703,7007596032,Real Estate
AGO,0.13119961558291982,0.107586,1.098,3.922654518955235,4201358592,Financial Services
AGRO,0.002505869539461747,0.107928,1.104,3.9446402591184575,1011150848,Consumer Defensive
AGX,0.09996129704025658,0.069909,0.437,1.0329374663020352,979270848,Industrials
AGYS,0.22042663462966705,0.089346,0.778,2.7324238803422594,2797308416,Technology
AHH,0.05740840312578532,0.10445099999999999,1.043,3.7216390770935464,976610816,Real Estate
AHT,-0.48504770523252616,0.17068499999999998,2.205,9.054851694125686,40353560,Real Estate
AIF,0.04968590283776675,0.07919999999999999,0.6,1.9677927753221274,211228432,Financial Services
AIG,0.0496124022165958,0.107244,1.092,3.9006832765938433,49755189248,Financial Services
AIM,-0.4567600863635606,0.024366000000000002,-0.362,4.953728718519935,22283312,Healthcare
AIN,0.09707075133394616,0.120069,1.317,4.742954926657918,2654157056,Consumer Cyclical
AIR,0.11068689542179633,0.135687,1.591,5.863226533026195,2549334016,Industrials
AIRI,-0.29392922527077003,0.059990999999999996,0.263,-0.7799358045965806,11038269,Industrials
AIRT,0.09384774473720392,0.087066,0.738,2.5725963856117438,59561880,Industrials
AIT,0.1629574121588624,0.10650299999999999,1.079,3.853122970682111,7448757760,Industrials
AIV,nan,0.131013,1.509,5.513414517149972,1170202240,Real Estate
AIZ,0.11306631566556735,0.076692,0.556,1.7479746721966294,8695144448,Financial Services
AJG,0.2102404775786315,0.08609699999999999,0.721,2.503055116461354,56842567680,Financial Services
AKAM,0.03855659566032066,0.084045,0.685,2.3519558595518597,13699390464,Technology
AKBA,-0.2820610939112068,0.090087,0.791,2.7833755000154063,207332368,Healthcare
AKR,-0.020213354151672247,0.127992,1.456,5.29442685724535,1949672832,Real Estate
AKTX,-0.46189215281819285,0.093336,0.848,3.002250299626885,30879358,Healthcare
AL,0.03196298523506025,0.13768199999999997,1.626,6.016936940859207,5340047872,Industrials
ALB,0.04383897535428205,0.136998,1.614,5.963926133805445,11314323456,Basic Materials
ALCO,-0.029307485301195424,0.09390599999999999,0.858,3.0400184568413886,199982240,Consumer Defensive
ALDX,-0.06488348355033391,0.12405899999999999,1.387,5.016847064968603,202009312,Healthcare
ALE,0.05093275191514546,0.08957399999999999,0.782,2.748148410059933,3598364672,Utilities
ALEX,-0.03408508419296297,0.11682,1.26,4.524868167721174,1213739776,Real Estate
ALG,0.12990510778110198,0.104679,1.047,3.736238041850445,2047006720,Industrials
ALGN,0.1650554973099938,0.137511,1.623,6.003653505288249,18293452800,Healthcare
ALGT,-0.07008886927912616,0.138537,1.641,6.083664804429467,917267008,Industrials
ALK,-0.004028251500239111,0.137112,1.616,5.972738566943957,5172117504,Industrials
ALKS,-0.07065015985669809,0.070137,0.441,1.0609791056001265,4110377984,Healthcare
ALL,0.12264598533525528,0.0735,0.5,1.438301442988065,42229039104,Financial Services
ALLE,0.08190911622307251,0.11146199999999999,1.166,4.172947025375784,10171102208,Industrials
ALLT,-0.15813497809688593,0.10428,1.04,3.710690708994096,87647304,Technology
ALLY,0.062112496064645306,0.124857,1.401,5.07252262180564,12034607104,Financial Services
ALNT,0.09319791673311206,0.136257,1.601,5.906864409767954,420399040,Technology
ALNY,0.14061216841688173,0.061929,0.297,-0.2889249378616097,31243524096,Healthcare
ALOT,0.02213076387956292,0.08091,0.63,2.108604441255795,113830432,Technology
ALRS,0.02061996059995619,0.082563,0.659,2.2390366329495395,363497568,Financial Services
ALSN,0.10717952872507386,0.102798,1.014,3.615808692826959,6498755584,Consumer Cyclical
ALTO,-0.20433109413824857,0.14988,1.84,7.022120083809701,114561392,Basic Materials
ALV,0.052328327790591045,0.139563,1.659,6.164431537575005,8649306112,Consumer Cyclical
ALX,-0.012872170348791623,0.08871899999999999,0.767,2.688954079067692,1132848000,Real Estate
AMAT,0.2755852262328744,0.13391999999999998,1.56,5.729330550832055,192529022976,Technology
AMBA,0.05495322188249263,0.13768199999999997,1.626,6.016936940859207,2188199680,Technology
AMBC,-0.07130399752844518,0.11887199999999999,1.296,4.662131983425734,578427776,Financial Services
AMC,-0.32256873260420527,0.15084899999999998,1.857,7.107259680760171,1412910720,Communication Services
AMCR,0.031389943723928004,0.09476099999999998,0.873,3.096384464754133,14178786304,Consumer Cyclical
AMCX,-0.17201460332088936,0.122406,1.358,4.902498683222499,404317504,Communication Services
AMD,0.4478323525836063,0.141102,1.686,6.287032982761812,257752956928,Technology
AME,0.12649280053939904,0.11328599999999998,1.198,4.291828522981618,38532812800,Industrials
AMED,0.21418861365431163,0.090885,0.805,2.8377758339394656,3037971456,Healthcare
AMG,-0.022453026531344955,0.11567999999999999,1.24,4.4492605966448355,4959390720,Financial Services
AMGN,0.12229772889236656,0.079257,0.601,1.97259436927321,168274296832,Healthcare
AMH,0.0823607945274012,0.08638199999999999,0.726,2.5236193257619064,15354614784,Real Estate
AMKR,0.13521527474798312,0.150108,1.844,7.042077785417302,9566166016,Technology
AMN,0.15940826089853655,0.055032,0.176,-2.7965114209390354,1967875072,Healthcare
AMP,0.15908508179155434,0.12246299999999999,1.359,4.90642037789254,42743476224,Financial Services
AMPY,-0.1088010426798045,0.15820199999999998,1.986,7.781753857911037,266192624,Energy
AMRC,0.15893938379928874,0.146175,1.775,6.704122491741921,1608365184,Industrials
AMRN,-0.08036793489661931,0.158601,1.993,7.819858464358335,287978080,Healthcare
AMS,0.023576845706492433,0.084786,0.698,2.4071695546506473,20457294,Healthcare
AMSC,0.05285891352365857,0.16344599999999998,2.078,8.295718388443134,897946304,Industrials
AMSF,0.05662488464406734,0.063012,0.316,-0.05478319243074983,835434112,Financial Services
AMSWA,0.025037673809644057,0.08632499999999999,0.725,2.519514071468086,306953728,Technology
AMT,0.09724363484174958,0.089916,0.788,2.771656184098895,91209564160,Real Estate
AMTX,0.031021434915552204,0.11545199999999999,1.236,4.434191085103522,134081352,Energy
AMWD,0.0942904873481405,0.140019,1.667,6.200574526533668,1239102464,Consumer Cyclical
AMX,0.0025963511410962425,0.061073999999999996,0.282,-0.4927634671774938,52247273472,Communication Services
AMZN,0.284282791973302,0.11009399999999998,1.142,4.0842938604722345,2058945822720,Consumer Cyclical
AN,0.10421219728993236,0.114312,1.216,4.359089414001254,6314189824,Consumer Cyclical
ANDE,0.013006881664882508,0.08005499999999999,0.615,2.0390125001480635,1697723008,Consumer Defensive
ANET,0.3600272180647568,0.10650299999999999,1.079,3.853122970682111,109028392960,Technology
ANF,0.1781181075758318,0.129816,1.488,5.426011570679908,8817197056,Consumer Cyclical
ANGI,-0.16857244971769603,0.15603599999999998,1.948,7.57767392759163,928222720,Communication Services
ANGO,-0.09397861083662351,0.083589,0.677,2.317580029962218,237523184,Healthcare
ANIK,-0.05780254018360531,0.093051,0.843,2.983304352476767,375187904,Healthcare
ANIP,0.05715141682350122,0.09117,0.81,2.857094363706442,1322467328,Healthcare
ANIX,-0.11135658396889392,0.093336,0.848,3.002250299626885,76175472,Healthcare
ANSS,0.1576434946619545,0.10969499999999999,1.135,4.058507999797618,28094885888,Technology
ANTE,-0.31686572698776694,0.13186799999999999,1.524,5.576372849252394,14884405,Communication Services
ANY,-0.6029713773388926,0.203517,2.781,13.389712892228184,20501824,Technology
AOD,0.05950913514920586,0.10137299999999999,0.989,3.524504753166116,881403136,Financial Services
AON,0.13480986423822228,0.096813,0.909,3.2304766770782525,63663796224,Financial Services
AORT,0.1083867943721939,0.14309699999999997,1.721,6.448631667630309,1037099840,Healthcare
AOS,0.1406223460999969,0.112203,1.179,4.221142299827485,12029873152,Industrials
AOSL,0.14569132582562494,0.17815199999999998,2.336,9.904092997284568,1026659840,Technology
AP,-0.27728359844960715,0.09259499999999998,0.835,2.952899930883282,15495245,Industrials
APA,-0.10186232117583516,0.230136,3.248,18.333735810107456,10790551552,Energy
APAM,0.039548746597898754,0.150108,1.844,7.042077785417302,2835411712,Financial Services
APCX,0.12324440050177854,0.09071399999999999,0.802,2.8261575717824794,23718448,Technology
APD,0.10385186179605421,0.09350699999999999,0.851,3.013597716809743,58482040832,Basic Materials
APDN,-0.6150678553531175,0.049218,0.074,-10.779181652610028,3707479,Healthcare
APEI,-0.0659461322419933,0.11932799999999999,1.304,4.69285351879447,298952448,Consumer Defensive
APH,0.20652983393182645,0.117048,1.264,4.540043444450104,81069662208,Technology
APO,0.21817152573251763,0.13677,1.61,5.946328332312013,67142475776,Financial Services
APOG,0.08606476500187399,0.104736,1.048,3.739888028848463,1417660544,Industrials
APPS,-0.08985142892369469,0.19240199999999996,2.586,11.737156948380562,152735424,Technology
APT,0.10106850805970358,0.0021930000000000005,-0.751,3.1517019060700346,64287848,Industrials
APTO,-0.17729766038874462,0.128961,1.473,5.364095099096295,13582050,Healthcare
APTV,0.027491235799392832,0.15193199999999998,1.876,7.203414062971968,18766837760,Consumer Cyclical
APWC,-0.04312044521952085,0.08148,0.64,2.1541635495418916,31748948,Industrials
AQN,0.011975641394955883,0.07293,0.49,1.3785789936550277,4138542848,Utilities
AR,-0.060656407285320735,0.232701,3.293,18.89651670050308,10138524672,Energy
ARAY,-0.1495114731829711,0.127251,1.443,5.241503506628942,177647120,Healthcare
ARC,-0.07498011732052545,0.11009399999999998,1.142,4.0842938604722345,112697968,Industrials
ARCB,0.10419116956489827,0.129759,1.487,5.421870626081729,2462426880,Industrials
ARCC,0.09075398963993031,0.10445099999999999,1.043,3.7216390770935464,12781974528,Financial Services
ARCO,-0.008748087489446776,0.11510999999999999,1.23,4.411618123160287,1927511424,Consumer Cyclical
ARCT,-0.14888259999723907,0.202434,2.762,13.21920723060005,658482560,Healthcare
ARDX,-0.08504834401005645,0.089403,0.779,2.7363590408960907,1520850432,Healthcare
ARE,0.0664809259641721,0.109581,1.133,4.051146044056439,20354633728,Real Estate
AREN,-0.13246375630989016,0.056343,0.199,-2.104351760812334,25159916,Communication Services
ARES,0.26577228636273675,0.114768,1.224,4.389081949477174,42485460992,Financial Services
ARI,0.032642844046201214,0.14645999999999998,1.78,6.7281700933081785,1411668736,Real Estate
ARKR,-0.019216537424372016,0.102684,1.012,3.6085084364783477,48620116,Consumer Cyclical
ARL,0.06949888734932208,0.084843,0.699,2.411384993708654,210622080,Real Estate
ARLP,-0.0009681756102504213,0.11037899999999999,1.147,4.102731131995115,3097179392,Energy
ARMK,0.07647695862598103,0.137397,1.621,5.994809296659612,8854939648,Industrials
ARMN,-0.16303676498671715,0.13295099999999999,1.543,5.656768460085898,576478208,Basic Materials
ARMP,-0.5083975383924322,0.09236699999999999,0.831,2.9376539673820483,100148240,Healthcare
AROC,-0.03781038233354783,0.13369199999999998,1.556,5.712202868505401,3128845824,Energy
AROW,0.03905264085508953,0.08735099999999998,0.743,2.5928532293678925,424465696,Financial Services
ARR,-0.18075350499139853,0.131013,1.509,5.513414517149972,1009840832,Real Estate
ARTNA,0.07106985077538108,0.056457,0.201,-2.05124091807735,370739296,Utilities
ARTW,-0.1261772506495119,0.066261,0.373,0.5263241126351752,7754361,Industrials
ARW,0.07320753279667147,0.119214,1.302,4.685165378542075,6412073472,Technology
ARWR,0.06115340770984479,0.09863699999999999,0.941,3.348580497357461,3190697984,Healthcare
ASA,0.02195031477000109,0.11357099999999999,1.203,4.310482188776806,333522400,Financial Services
ASB,0.035952393753636125,0.09914999999999999,0.95,3.381658085600404,3060570112,Financial Services
ASC,0.06428539149966572,0.07008,0.44,1.0540022580608912,949339328,Industrials
ASG,0.07798914959261483,0.11835899999999999,1.287,4.627667759244052,314450752,Financial Services
ASGN,0.09562227007729573,0.127593,1.449,5.265892230297003,4035986944,Technology
ASH,0.07225642108552188,0.09715499999999999,0.915,3.2526883721481847,4726011392,Basic Materials
ASM,-0.0882202517273627,0.15620699999999998,1.951,7.593617238524985,121891736,Basic Materials
ASMB,-0.16685140230604467,0.081366,0.638,2.1451028160137393,92645176,Healthcare
ASML,0.28106884278966837,0.108042,1.106,3.951972263457525,406954180608,Technology
ASPN,0.07990706771285372,0.175473,2.289,9.591242678075854,1882704768,Industrials
ASPS,-0.3552294143207746,0.099948,0.964,3.433016841011032,38282772,Real Estate
ASR,0.10055206956899854,0.09077099999999999,0.803,2.8300326237287536,9232965632,Industrials
ASRT,-0.30865527174088403,0.097611,0.923,3.2822525132780784,124613224,Healthcare
ASRV,-0.02308736680162793,0.08609699999999999,0.721,2.503055116461354,41153520,Financial Services
ASTC,-0.32448031119219933,0.031377,-0.239,6.513359663058529,15809072,Industrials
ASTE,-0.02990745922760807,0.120582,1.326,4.7777738072498215,668389248,Industrials
ASTH,0.2015524573391283,0.108498,1.114,3.9813185434706146,1852637696,Healthcare
ASUR,0.03171795167111391,0.08444399999999999,0.692,2.3817829359448663,212699936,Technology
ASX,0.09983802579888246,0.104736,1.048,3.739888028848463,24772907008,Technology
ASXC,-0.4176292649683767,0.11853,1.29,4.639144516465863,89797872,Healthcare
ASYS,-0.05493152703925208,0.128163,1.459,5.306682967568551,86815768,Technology
ATEC,-0.04201597414744673,0.125427,1.411,5.112486246537993,1453394816,Healthcare
ATEN,0.007099531660095693,0.11089199999999999,1.156,4.1359598430708795,1011101632,Technology
ATGE,0.04897661462004321,0.09932099999999999,0.953,3.392672735619414,2481276928,Consumer Defensive
ATHE,-0.34496597847180954,0.081366,0.638,2.1451028160137393,17387396,Healthcare
ATHM,-0.016136216088106003,0.051669,0.117,-5.750263016745383,3293008128,Communication Services
ATI,0.03608387091594367,0.10878299999999999,1.119,3.999675664712765,7033405440,Industrials
ATLC,0.24531507107925332,0.152331,1.883,7.23910855976618,398055424,Financial Services
ATLO,0.0146768192870812,0.07703399999999999,0.562,1.7790144710448639,175707008,Financial Services
ATNI,-0.07598938398332833,0.07709099999999999,0.563,1.7841525921205619,346168736,Communication Services
ATNM,-0.30023613496524815,0.05184,0.12,-5.532167183364079,220100064,Healthcare
ATO,0.10325066747657008,0.082905,0.665,2.265409362155484,17584713728,Utilities
ATOS,-0.4223110081029311,0.11294399999999999,1.192,4.269473365337025,143362976,Healthcare
ATR,0.09315903103904355,0.07891499999999999,0.595,1.9436652806677261,9533343744,Healthcare
ATRC,0.021974342071259922,0.12594,1.42,5.1485956951829435,1126823808,Healthcare
ATRI,0.04113949402144623,0.083019,0.667,2.274156859982874,797503744,Healthcare
ATRO,-0.04436590280390429,0.149937,1.841,7.027105195666045,694689152,Industrials
ATS,0.08689144467478971,0.12645299999999998,1.429,5.184842221021154,3181860864,Industrials
ATSG,0.053054435186277615,0.094191,0.863,3.0588437808579623,897127104,Industrials
AUB,0.0418951939449006,0.09698399999999999,0.912,3.241586819864528,2867148544,Financial Services
AUBN,-0.008847242675992906,0.074583,0.519,1.5477896266153637,63131156,Financial Services
AUDC,0.0487026819312546,0.09516,0.88,3.122580801748706,311769600,Technology
AULT,-0.8124420730523808,0.262341,3.813,26.79167127274865,10130164,Industrials
AUMN,-0.3455158304931669,0.063468,0.324,0.03681918484509808,6042836,Basic Materials
AVA,0.03335731761619165,0.072417,0.481,1.32348503655404,2687348992,Utilities
AVAV,0.18879327095471976,0.071391,0.463,1.209145864060584,5005622272,Industrials
AVB,0.06384876323339417,0.09886499999999998,0.945,3.36328810759878,29332971520,Real Estate
AVD,-0.03798845856081845,0.09914999999999999,0.95,3.381658085600404,244026592,Basic Materials
AVGO,0.39221631888665054,0.11237399999999999,1.182,4.232283210242605,738571190272,Technology
AVK,0.027786104022540004,0.12206399999999999,1.352,4.87899973069185,412358112,Financial Services
AVNT,0.018465265440730017,0.133008,1.544,5.661020217193194,3941316096,Basic Materials
AVNW,0.14922457121933896,0.146061,1.773,6.694522336911699,357482784,Technology
AVT,0.030756536909914534,0.113685,1.205,4.317949988802783,4603063808,Technology
AVXL,0.12681182313039452,0.083019,0.667,2.274156859982874,363112064,Healthcare
AVY,0.17735862517173584,0.09721199999999999,0.916,3.2563870263227566,17995628544,Consumer Cyclical
AWF,0.030724836724761673,0.091113,0.809,2.8532351105533666,905411840,Financial Services
AWH,-0.2904522530705047,0.1305,1.5,5.475851840519954,16308844,Healthcare
AWI,0.07397270805659839,0.11077799999999999,1.154,4.128570925762352,4931560448,Industrials
AWK,0.12029116992694155,0.082905,0.665,2.265409362155484,25184772096,Utilities
AWP,0.006973855530538531,0.12195,1.35,4.87117855749236,325404480,Financial Services
AWR,0.10112288443501694,0.071049,0.457,1.1697068333392948,2677502464,Utilities
AWRE,-0.07182881407752029,0.088776,0.768,2.6929200730494602,41537844,Technology
AWX,-0.06892472305979092,0.093165,0.845,2.990887845839745,8266791,Industrials
AX,0.1167926206997818,0.12451499999999999,1.395,5.048623003857863,3144605952,Financial Services
AXDX,-0.42699889534803426,0.08205,0.65,2.199098796644127,27152880,Healthcare
AXGN,0.09896304198206218,0.105306,1.058,3.776395021812582,315547200,Healthcare
AXL,-0.09440583752148579,0.165327,2.111,8.48724913762511,811115712,Consumer Cyclical
AXON,0.36353095836425053,0.09687,0.91,3.2341810289384925,22515640320,Industrials
AXP,0.10503504001142172,0.11465399999999999,1.222,4.3815779141745494,164288790528,Financial Services
AXR,0.11491719575726522,0.10336799999999999,1.024,3.652304301191233,96992104,Real Estate
AXS,0.07130292854543763,0.09595799999999999,0.894,3.174787645131123,6028638720,Financial Services
AXTI,0.054825055261846334,0.173535,2.255,9.37069028772927,156727760,Technology
AY,-0.018148218765422275,0.101715,0.995,3.5464300777216375,2556659712,Utilities
AYI,0.06394313933002715,0.12696599999999997,1.438,5.221228093044747,7468798464,Industrials
AYRO,-0.6174657026513535,0.26262599999999997,3.818,26.881705563546983,4130991,Consumer Cyclical
AYTU,-0.7437358455312382,-0.029670000000000002,-1.31,2.186418057322934,17080864,Healthcare
AZN,0.11650682196243722,0.054633,0.169,-3.0425410453494335,243926286336,Healthcare
AZO,0.18735113901592793,0.08552699999999999,0.711,2.4616340231507814,50486505472,Consumer Cyclical
AZPN,0.1581757893563076,0.08820599999999999,0.758,2.6531268897594633,12531957760,Technology
AZTA,0.18184674289158176,0.131127,1.511,5.521783265549165,2809174528,Healthcare
AZZ,0.06921481498639004,0.11739,1.27,4.56284112239551,2298278400,Industrials
B,0.018328546881791752,0.12457199999999999,1.396,5.052602221852382,2117319552,Industrials
BA,0.05120210196064501,0.133635,1.555,5.70792619255803,112039968768,Industrials
BAC,0.11295982497736556,0.122748,1.364,4.926051348743813,306949521408,Financial Services
BAH,0.24195577891208075,0.077376,0.568,1.8096960892875875,20226875392,Industrials
BAK,-0.016166391669498847,0.101487,0.991,3.531814287401975,2749023232,Basic Materials
BALL,0.07128338223240283,0.096357,0.901,3.200805589853656,18957887488,Consumer Cyclical
BANF,0.1265662130227323,0.105078,1.054,3.7617904972643004,2853721600,Financial Services
BANR,0.043313783258265515,0.10462199999999999,1.046,3.7325881594672192,1655643008,Financial Services
BANX,0.0268890475696566,0.07293,0.49,1.3785789936550277,131304600,Financial Services
BAP,0.025933183364736934,0.10713,1.09,3.893362546212123,12642771968,Financial Services
BAX,-0.0066557398324863515,0.07977,0.61,2.0154606669798114,17081121792,Healthcare
BB,-0.12980396771972813,0.10456499999999999,1.045,3.7289383754166687,1455799936,Technology
BBAR,-0.009920318204443501,0.13848,1.64,6.079200061479098,2882357504,Financial Services
BBD,-0.11313656551994078,0.084159,0.687,2.360501389677417,23979728896,Financial Services
BBDC,-0.023003498142150414,0.084558,0.694,2.3902632213781803,1025605696,Financial Services
BBDO,-0.1574207307380905,0.084159,0.687,2.360501389677417,23010050048,Financial Services
BBGI,-0.17043707008614772,0.10251299999999999,1.009,3.5975570836184354,19999928,Communication Services
BBSI,0.17169814225788982,0.12514199999999998,1.406,5.092483830944425,852469376,Industrials
BBVA,0.007641784353474623,0.128448,1.464,5.3271460997739535,57070907392,Financial Services
BBW,0.07447452493647644,0.13716899999999999,1.617,5.9771481762903305,349821248,Consumer Cyclical
BBWI,-0.010634699251532598,0.152673,1.889,7.269820348481914,8712706048,Consumer Cyclical
BBY,0.13673377597095993,0.131184,1.512,5.525970587254555,18189004800,Consumer Cyclical
BC,0.06824882775284458,0.133179,1.547,5.673787865457992,4796595200,Consumer Cyclical
BCAL,0.07332968927972106,0.075039,0.527,1.5924483863987604,244543904,Financial Services
BCBP,0.008218099906180276,0.078345,0.585,1.894793170446888,173643776,Financial Services
BCC,0.17350171128876535,0.134034,1.562,5.737907018733217,4681060352,Basic Materials
BCDA,-0.3355285130188421,0.125313,1.409,5.10448031018612,5458275,Healthcare
BCE,0.007712614216520475,0.071163,0.459,1.1829306347840627,29622890496,Communication Services
BCH,0.014589712652300468,0.055032,0.176,-2.7965114209390354,11404819456,Financial Services
BCLI,-0.23048346007201503,0.06894,0.42,0.9095651058595905,25257010,Healthcare
BCML,0.06293876841733148,0.08849099999999999,0.763,2.6730608045761137,221591520,Financial Services
BCO,0.1536100757813852,0.12753599999999998,1.448,5.26182300638902,4545350656,Industrials
